Time,State,Duration (seconds)
00:52:30,wake,270
00:57:00,deep,870
01:11:30,wake,390
01:18:00,light,870
01:32:30,deep,2400
02:12:30,light,2070
02:47:00,deep,360
02:53:00,light,1680
03:21:00,deep,300
03:26:00,light,1080
03:44:00,rem,1680
04:12:00,light,2550
04:54:30,deep,1470
05:19:00,light,210
05:22:30,rem,2220
05:59:30,light,3060
06:50:30,deep,600
07:00:30,light,1410
07:24:00,rem,1590
07:50:30,light,2070
08:25:00,deep,270
08:29:30,light,1530
08:55:00,rem,1230
09:15:30,light,2100
09:50:30,rem,330
09:56:00,deep,1080
10:14:00,light,600
10:24:00,wake,360
10:30:00,light,240
10:34:00,rem,300
10:39:00,wake,210
