Time,State,Duration (seconds)
17:00:00,awake,120
17:02:00,restless,60
17:03:00,asleep,4500
18:18:00,restless,60
01:56:30,wake,390
02:03:00,light,840
02:17:00,wake,360
02:23:00,light,2610
03:06:30,deep,540
03:15:30,light,5070
04:40:00,rem,2670
05:24:30,light,720
05:36:30,deep,570
05:46:00,light,60
05:47:00,wake,420
05:54:00,light,1050
06:11:30,deep,2850
06:59:00,light,150
07:01:30,rem,2400
07:41:30,light,1290
08:03:00,deep,990
08:19:30,light,1980
08:52:30,rem,3090
09:44:00,light,1410
10:07:30,deep,930
10:23:00,light,360
10:29:00,wake,1290
